JPM,,,GS,,,MS,,,C,,,BAC,,,WFC,
Date:,Stock Price:,,Date:,Stock Price:,,Date:,Stock Price:,,Date:,Stock Price:,,Date:,Stock Price:,,Date:,Stock Price:
01/04/2016,63.62,,01/04/2016,177.14,,01/04/2016,31.48,,01/04/2016,51.13,,01/04/2016,16.43,,01/04/2016,52.91
01/05/2016,63.73,,01/05/2016,174.09,,01/05/2016,31.28,,01/05/2016,50.86,,01/05/2016,16.43,,01/05/2016,52.89
01/06/2016,62.81,,01/06/2016,169.84,,01/06/2016,30.5,,01/06/2016,50.12,,01/06/2016,16.08,,01/06/2016,51.88
01/07/2016,60.27,,01/07/2016,164.62,,01/07/2016,28.98,,01/07/2016,47.56,,01/07/2016,15.5,,01/07/2016,50.4
01/08/2016,58.92,,01/08/2016,163.94,,01/08/2016,28.38,,01/08/2016,46.13,,01/08/2016,15.2,,01/08/2016,49.56
01/11/2016,58.83,,01/11/2016,165.73,,01/11/2016,28.46,,01/11/2016,46.85,,01/11/2016,15.31,,01/11/2016,50.09
01/12/2016,58.96,,01/12/2016,165.71,,01/12/2016,28.46,,01/12/2016,46.88,,01/12/2016,15.31,,01/12/2016,51.36
1/13/2016,57.34,,1/13/2016,158.99,,1/13/2016,26.89,,1/13/2016,45.19,,1/13/2016,14.9,,1/13/2016,49.73
1/14/2016,58.2,,1/14/2016,161.39,,1/14/2016,27.15,,1/14/2016,45.38,,1/14/2016,14.99,,1/14/2016,50.64
1/15/2016,57.04,,1/15/2016,155.61,,1/15/2016,25.97,,1/15/2016,42.47,,1/15/2016,14.46,,1/15/2016,48.82
1/19/2016,57.01,,1/19/2016,156.82,,1/19/2016,26.26,,1/19/2016,41.94,,1/19/2016,14.24,,1/19/2016,48.21
1/20/2016,55.51,,1/20/2016,153.75,,1/20/2016,25.24,,1/20/2016,40.49,,1/20/2016,13.69,,1/20/2016,47.87
1/21/2016,55.25,,1/21/2016,151.65,,1/21/2016,24.78,,1/21/2016,40.15,,1/21/2016,13.36,,1/21/2016,48.01
1/22/2016,56.95,,1/22/2016,156.86,,1/22/2016,25.61,,1/22/2016,41.06,,1/22/2016,13.56,,1/22/2016,49.02
1/25/2016,55.66,,1/25/2016,151.12,,1/25/2016,24.98,,1/25/2016,39.55,,1/25/2016,12.96,,1/25/2016,47.66
1/26/2016,57.08,,1/26/2016,154.45,,1/26/2016,25.49,,1/26/2016,40.5,,1/26/2016,13.31,,1/26/2016,48.26
1/27/2016,57.04,,1/27/2016,153.72,,1/27/2016,25.37,,1/27/2016,40.56,,1/27/2016,13.36,,1/27/2016,48.57
1/28/2016,57.28,,1/28/2016,157.06,,1/28/2016,25.17,,1/28/2016,40.39,,1/28/2016,13.53,,1/28/2016,48.92
1/29/2016,59.5,,1/29/2016,161.56,,1/29/2016,25.88,,1/29/2016,42.58,,1/29/2016,14.14,,1/29/2016,50.23
02/01/2016,58.86,,02/01/2016,159.65,,02/01/2016,25.71,,02/01/2016,42.48,,02/01/2016,13.96,,02/01/2016,49.94
02/02/2016,57.03,,02/02/2016,151.7,,02/02/2016,24.5,,02/02/2016,40.42,,02/02/2016,13.23,,02/02/2016,48.83
02/03/2016,57.41,,02/03/2016,152.68,,02/03/2016,24.32,,02/03/2016,40.36,,02/03/2016,13.03,,02/03/2016,47.6
02/04/2016,58.4,,02/04/2016,156.49,,02/04/2016,25.01,,02/04/2016,40.79,,02/04/2016,13.25,,02/04/2016,48.25
02/05/2016,57.75,,02/05/2016,156.47,,02/05/2016,24.35,,02/05/2016,39.86,,02/05/2016,12.95,,02/05/2016,47.86
02/08/2016,56.54,,02/08/2016,149.25,,02/08/2016,22.67,,02/08/2016,37.81,,02/08/2016,12.27,,02/08/2016,46.5
02/09/2016,56.2,,02/09/2016,148.25,,02/09/2016,22.93,,02/09/2016,37.51,,02/09/2016,12.2,,02/09/2016,46.45
02/10/2016,55.52,,02/10/2016,147.23,,02/10/2016,22.7,,02/10/2016,37.41,,02/10/2016,11.98,,02/10/2016,46.17
02/11/2016,53.07,,02/11/2016,140.69,,02/11/2016,21.69,,02/11/2016,34.98,,02/11/2016,11.16,,02/11/2016,45.16
02/12/2016,57.49,,02/12/2016,146.13,,02/12/2016,23.09,,02/12/2016,37.54,,02/12/2016,11.95,,02/12/2016,47.31
2/16/2016,58.35,,2/16/2016,149.02,,2/16/2016,23.72,,2/16/2016,38.89,,2/16/2016,12.25,,2/16/2016,48.24
2/17/2016,58.77,,2/17/2016,150.94,,2/17/2016,24.23,,2/17/2016,39.78,,2/17/2016,12.56,,2/17/2016,48.13
2/18/2016,57.81,,2/18/2016,147.73,,2/18/2016,23.96,,2/18/2016,38.92,,2/18/2016,12.24,,2/18/2016,47.73
2/19/2016,57.82,,2/19/2016,146.91,,2/19/2016,24,,2/19/2016,38.99,,2/19/2016,12.13,,2/19/2016,48.09
2/22/2016,58.57,,2/22/2016,148.79,,2/22/2016,24.54,,2/22/2016,39.52,,2/22/2016,12.54,,2/22/2016,49.19
2/23/2016,56.12,,2/23/2016,144.91,,2/23/2016,23.71,,2/23/2016,38.22,,2/23/2016,12.16,,2/23/2016,48.1
2/24/2016,56.14,,2/24/2016,145.56,,2/24/2016,23.71,,2/24/2016,38.09,,2/24/2016,12.13,,2/24/2016,47.61
2/25/2016,57.01,,2/25/2016,148.25,,2/25/2016,24.63,,2/25/2016,38.62,,2/25/2016,12.32,,2/25/2016,47.75
2/26/2016,57.54,,2/26/2016,150.25,,2/26/2016,25.16,,2/26/2016,39.5,,2/26/2016,12.7,,2/26/2016,48.07
2/29/2016,56.3,,2/29/2016,149.53,,2/29/2016,24.7,,2/29/2016,38.85,,2/29/2016,12.52,,2/29/2016,46.92
03/01/2016,59.2,,03/01/2016,154.65,,03/01/2016,26.09,,03/01/2016,41.27,,03/01/2016,13.19,,03/01/2016,48.72
03/02/2016,59.76,,03/02/2016,154.2,,03/02/2016,26.11,,03/02/2016,42.22,,03/02/2016,13.41,,03/02/2016,49.57
03/03/2016,59.96,,03/03/2016,155.33,,03/03/2016,26.14,,03/03/2016,42.83,,03/03/2016,13.5,,03/03/2016,49.77
03/04/2016,60.05,,03/04/2016,156.84,,03/04/2016,26.13,,03/04/2016,42.83,,03/04/2016,13.54,,03/04/2016,50.11
03/07/2016,59.94,,03/07/2016,155.35,,03/07/2016,26.09,,03/07/2016,42.61,,03/07/2016,13.53,,03/07/2016,50.07
03/08/2016,58.78,,03/08/2016,151.6,,03/08/2016,25.01,,03/08/2016,41.05,,03/08/2016,13.06,,03/08/2016,49.05
03/09/2016,59.12,,03/09/2016,149.91,,03/09/2016,24.61,,03/09/2016,41.15,,03/09/2016,13.14,,03/09/2016,48.79
03/10/2016,58.61,,03/10/2016,151.02,,03/10/2016,24.65,,03/10/2016,41.37,,03/10/2016,13.27,,03/10/2016,48.51
03/11/2016,59.34,,03/11/2016,153.94,,03/11/2016,26,,03/11/2016,42.99,,03/11/2016,13.79,,03/11/2016,50.07
3/14/2016,59.12,,3/14/2016,153.49,,3/14/2016,25.91,,3/14/2016,42.67,,3/14/2016,13.64,,3/14/2016,49.88
3/15/2016,59.2,,3/15/2016,152.03,,3/15/2016,25.43,,3/15/2016,42.59,,3/15/2016,13.57,,3/15/2016,49.98
3/16/2016,58.92,,3/16/2016,150.54,,3/16/2016,25.16,,3/16/2016,42.23,,3/16/2016,13.31,,3/16/2016,49.54
3/17/2016,58.75,,3/17/2016,152.91,,3/17/2016,25.85,,3/17/2016,42.85,,3/17/2016,13.4,,3/17/2016,49.73
3/18/2016,60.48,,3/18/2016,157.6,,3/18/2016,26.28,,3/18/2016,43.54,,3/18/2016,13.79,,3/18/2016,50.54
3/21/2016,60.46,,3/21/2016,156.29,,3/21/2016,25.94,,3/21/2016,43.6,,3/21/2016,13.84,,3/21/2016,50.67
3/22/2016,60.24,,3/22/2016,154.2,,3/22/2016,25.84,,3/22/2016,43.38,,3/22/2016,13.76,,3/22/2016,50.37
3/23/2016,59.94,,3/23/2016,154.08,,3/23/2016,25.27,,3/23/2016,42.37,,3/23/2016,13.62,,3/23/2016,49.76
3/24/2016,59.48,,3/24/2016,153,,3/24/2016,24.93,,3/24/2016,41.94,,3/24/2016,13.68,,3/24/2016,48.9
3/28/2016,59.4,,3/28/2016,153.84,,3/28/2016,24.72,,3/28/2016,41.92,,3/28/2016,13.62,,3/28/2016,48.7
3/29/2016,59.03,,3/29/2016,155.03,,3/29/2016,24.78,,3/29/2016,41.72,,3/29/2016,13.42,,3/29/2016,48.05
3/30/2016,59.71,,3/30/2016,156.5,,3/30/2016,25.07,,3/30/2016,41.88,,3/30/2016,13.48,,3/30/2016,48.65
3/31/2016,59.22,,3/31/2016,156.98,,3/31/2016,25.01,,3/31/2016,41.75,,3/31/2016,13.52,,3/31/2016,48.36
04/01/2016,59.87,,04/01/2016,159.82,,04/01/2016,25.53,,04/01/2016,42.47,,04/01/2016,13.56,,04/01/2016,48.45
04/04/2016,59.2,,04/04/2016,157.77,,04/04/2016,25.04,,04/04/2016,42.06,,04/04/2016,13.51,,04/04/2016,48.5
04/05/2016,58.36,,04/05/2016,155.35,,04/05/2016,24.38,,04/05/2016,41.51,,04/05/2016,13.19,,04/05/2016,47.51
04/06/2016,58.81,,04/06/2016,155.19,,04/06/2016,24.42,,04/06/2016,41.86,,04/06/2016,13.27,,04/06/2016,48.08
04/07/2016,57.32,,04/07/2016,150.41,,04/07/2016,23.72,,04/07/2016,40.27,,04/07/2016,12.85,,04/07/2016,46.93
04/08/2016,57.74,,04/08/2016,150.28,,04/08/2016,23.75,,04/08/2016,40.47,,04/08/2016,12.88,,04/08/2016,47.07
04/11/2016,58.2,,04/11/2016,152.2,,04/11/2016,24.11,,04/11/2016,41.12,,04/11/2016,12.97,,04/11/2016,47.03
04/12/2016,59.28,,04/12/2016,154.31,,04/12/2016,24.58,,04/12/2016,41.9,,04/12/2016,13.27,,04/12/2016,47.77
4/13/2016,61.79,,4/13/2016,159.85,,4/13/2016,25.88,,4/13/2016,44.25,,4/13/2016,13.79,,4/13/2016,49.03
4/14/2016,62.59,,4/14/2016,160.91,,4/14/2016,26.17,,4/14/2016,44.98,,4/14/2016,14.14,,4/14/2016,48.79
4/15/2016,61.87,,4/15/2016,158.52,,4/15/2016,25.76,,4/15/2016,44.92,,4/15/2016,14,,4/15/2016,48.25
4/18/2016,62.27,,4/18/2016,159.02,,4/18/2016,25.73,,4/18/2016,45.11,,4/18/2016,14.17,,4/18/2016,48.84
4/19/2016,63.32,,4/19/2016,162.65,,4/19/2016,26.46,,4/19/2016,45.63,,4/19/2016,14.45,,4/19/2016,49.88
4/20/2016,64.24,,4/20/2016,166.98,,4/20/2016,27.41,,4/20/2016,46.74,,4/20/2016,14.93,,4/20/2016,50.45
4/21/2016,63.6,,4/21/2016,165.32,,4/21/2016,27.26,,4/21/2016,46.6,,4/21/2016,14.9,,4/21/2016,50.05
4/22/2016,63.97,,4/22/2016,166.75,,4/22/2016,27.7,,4/22/2016,46.97,,4/22/2016,15.11,,4/22/2016,50.62
4/25/2016,63.6,,4/25/2016,165.09,,4/25/2016,27.53,,4/25/2016,46.69,,4/25/2016,14.96,,4/25/2016,50.51
4/26/2016,63.93,,4/26/2016,165.84,,4/26/2016,27.55,,4/26/2016,47.1,,4/26/2016,15.09,,4/26/2016,50.92
4/27/2016,64.11,,4/27/2016,166.92,,4/27/2016,27.53,,4/27/2016,47.33,,4/27/2016,15.02,,4/27/2016,50.93
4/28/2016,63.6,,4/28/2016,164.29,,4/28/2016,27.23,,4/28/2016,46.73,,4/28/2016,14.79,,4/28/2016,50.41
4/29/2016,63.2,,4/29/2016,164.11,,4/29/2016,27.06,,4/29/2016,46.28,,4/29/2016,14.56,,4/29/2016,49.98
05/02/2016,63.79,,05/02/2016,166.18,,05/02/2016,27.26,,05/02/2016,46.68,,05/02/2016,14.77,,05/02/2016,50.59
05/03/2016,62.56,,05/03/2016,163.14,,05/03/2016,26.89,,05/03/2016,45.57,,05/03/2016,14.36,,05/03/2016,50
05/04/2016,61.57,,05/04/2016,160.07,,05/04/2016,26.28,,05/04/2016,44.66,,05/04/2016,14.13,,05/04/2016,48.94
05/05/2016,61.24,,05/05/2016,159.53,,05/05/2016,26.17,,05/05/2016,44.23,,05/05/2016,14.05,,05/05/2016,48.96
05/06/2016,61.6,,05/06/2016,158.85,,05/06/2016,26.25,,05/06/2016,44.41,,05/06/2016,14.11,,05/06/2016,49.02
05/09/2016,61.21,,05/09/2016,157.51,,05/09/2016,26.1,,05/09/2016,43.89,,05/09/2016,13.99,,05/09/2016,48.88
05/10/2016,62.04,,05/10/2016,161.42,,05/10/2016,26.63,,05/10/2016,44.84,,05/10/2016,14.3,,05/10/2016,49.4
05/11/2016,61.81,,05/11/2016,159.42,,05/11/2016,26.36,,05/11/2016,44.47,,05/11/2016,14.2,,05/11/2016,49.08
05/12/2016,61.77,,05/12/2016,158.07,,05/12/2016,26.23,,05/12/2016,44,,05/12/2016,14.14,,05/12/2016,49.2
5/13/2016,61.2,,5/13/2016,155.34,,5/13/2016,25.89,,5/13/2016,43.11,,5/13/2016,13.88,,5/13/2016,48.24
5/16/2016,61.66,,5/16/2016,155.38,,5/16/2016,26.21,,5/16/2016,43.15,,5/16/2016,13.93,,5/16/2016,48.27
5/17/2016,61.66,,5/17/2016,154.65,,5/17/2016,26.16,,5/17/2016,43.7,,5/17/2016,14.01,,5/17/2016,47.62
5/18/2016,64.04,,5/18/2016,159.94,,5/18/2016,27.24,,5/18/2016,45.87,,5/18/2016,14.69,,5/18/2016,48.65
5/19/2016,63.39,,5/19/2016,154.7,,5/19/2016,26.61,,5/19/2016,45.06,,5/19/2016,14.53,,5/19/2016,48.38
5/20/2016,63.51,,5/20/2016,154.51,,5/20/2016,26.77,,5/20/2016,44.9,,5/20/2016,14.52,,5/20/2016,48.75
5/23/2016,63.46,,5/23/2016,155.45,,5/23/2016,26.83,,5/23/2016,45.11,,5/23/2016,14.47,,5/23/2016,48.7
5/24/2016,64.54,,5/24/2016,157.59,,5/24/2016,27.41,,5/24/2016,45.86,,5/24/2016,14.68,,5/24/2016,49.2
5/25/2016,65.52,,5/25/2016,161.25,,5/25/2016,27.78,,5/25/2016,46.94,,5/25/2016,14.92,,5/25/2016,50.5
5/26/2016,65.03,,5/26/2016,159.22,,5/26/2016,27.42,,5/26/2016,46.11,,5/26/2016,14.7,,5/26/2016,50.55
5/27/2016,65.43,,5/27/2016,159.53,,5/27/2016,27.53,,5/27/2016,46.58,,5/27/2016,14.88,,5/27/2016,50.85
5/31/2016,65.27,,5/31/2016,159.48,,5/31/2016,27.37,,5/31/2016,46.57,,5/31/2016,14.79,,5/31/2016,50.72
06/01/2016,65.69,,06/01/2016,159.97,,06/01/2016,27.49,,06/01/2016,46.94,,06/01/2016,14.86,,06/01/2016,51
06/02/2016,65.81,,06/02/2016,159.28,,06/02/2016,27.28,,06/02/2016,46.97,,06/02/2016,14.94,,06/02/2016,51.11
06/03/2016,64.64,,06/03/2016,155.67,,06/03/2016,26.54,,06/03/2016,45.39,,06/03/2016,14.42,,06/03/2016,50.19
06/06/2016,65.28,,06/06/2016,157.06,,06/06/2016,26.85,,06/06/2016,45.74,,06/06/2016,14.52,,06/06/2016,50.49
06/07/2016,65.06,,06/07/2016,155.17,,06/07/2016,26.52,,06/07/2016,45.54,,06/07/2016,14.35,,06/07/2016,50.27
06/08/2016,65.25,,06/08/2016,154.64,,06/08/2016,26.54,,06/08/2016,45.56,,06/08/2016,14.43,,06/08/2016,50
06/09/2016,64.75,,06/09/2016,153.17,,06/09/2016,26.08,,06/09/2016,45.01,,06/09/2016,14.19,,06/09/2016,49.14
06/10/2016,63.84,,06/10/2016,149.89,,06/10/2016,25.54,,06/10/2016,43.9,,06/10/2016,13.83,,06/10/2016,48.34
6/13/2016,63.27,,6/13/2016,148.63,,6/13/2016,25.26,,6/13/2016,43.16,,6/13/2016,13.6,,6/13/2016,47.97
6/14/2016,62.08,,6/14/2016,146.19,,6/14/2016,24.6,,6/14/2016,41.96,,6/14/2016,13.26,,6/14/2016,46.88
6/15/2016,61.97,,6/15/2016,146.16,,6/15/2016,24.72,,6/15/2016,42.01,,6/15/2016,13.34,,6/15/2016,46.78
6/16/2016,62.22,,6/16/2016,146.63,,6/16/2016,25.07,,6/16/2016,42.12,,6/16/2016,13.31,,6/16/2016,46.85
6/17/2016,62.28,,6/17/2016,145.64,,6/17/2016,25.31,,6/17/2016,42.48,,6/17/2016,13.4,,6/17/2016,46.6
6/20/2016,62.37,,6/20/2016,147.75,,6/20/2016,25.9,,6/20/2016,42.8,,6/20/2016,13.54,,6/20/2016,46.93
6/21/2016,62.95,,6/21/2016,148.35,,6/21/2016,26.2,,6/21/2016,42.92,,6/21/2016,13.62,,6/21/2016,47.23
6/22/2016,62.71,,6/22/2016,148.14,,6/22/2016,26.39,,6/22/2016,42.68,,6/22/2016,13.61,,6/22/2016,46.97
6/23/2016,64.05,,6/23/2016,152.66,,6/23/2016,27.29,,6/23/2016,44.46,,6/23/2016,14.04,,6/23/2016,47.91
6/24/2016,59.6,,6/24/2016,141.86,,6/24/2016,24.52,,6/24/2016,40.3,,6/24/2016,13,,6/24/2016,45.71
6/27/2016,57.61,,6/27/2016,139.51,,6/27/2016,23.61,,6/27/2016,38.48,,6/27/2016,12.18,,6/27/2016,45.01
6/28/2016,59.52,,6/28/2016,142.41,,6/28/2016,24.61,,6/28/2016,40.44,,6/28/2016,12.7,,6/28/2016,46.1
6/29/2016,61.2,,6/29/2016,145.5,,6/29/2016,25.23,,6/29/2016,42.12,,6/29/2016,13.19,,6/29/2016,46.97
6/30/2016,62.14,,6/30/2016,148.58,,6/30/2016,25.98,,6/30/2016,42.39,,6/30/2016,13.27,,6/30/2016,47.33
07/01/2016,61.26,,07/01/2016,148.25,,07/01/2016,25.92,,07/01/2016,42.17,,07/01/2016,13.1,,07/01/2016,47.03
07/05/2016,59.55,,07/05/2016,144.45,,07/05/2016,25,,07/05/2016,40.78,,07/05/2016,12.74,,07/05/2016,46.21
07/06/2016,60.19,,07/06/2016,145.58,,07/06/2016,25.15,,07/06/2016,41.06,,07/06/2016,12.86,,07/06/2016,46.65
07/07/2016,60.58,,07/07/2016,147,,07/07/2016,25.69,,07/07/2016,41.29,,07/07/2016,13.01,,07/07/2016,46.8
07/08/2016,61.83,,07/08/2016,150.38,,07/08/2016,26.37,,07/08/2016,41.98,,07/08/2016,13.17,,07/08/2016,47.79
07/11/2016,62.27,,07/11/2016,152.19,,07/11/2016,26.46,,07/11/2016,42.29,,07/11/2016,13.21,,07/11/2016,48.08
07/12/2016,63.2,,07/12/2016,156.92,,07/12/2016,27.37,,07/12/2016,43.44,,07/12/2016,13.54,,07/12/2016,48.35
7/13/2016,63.16,,7/13/2016,157.92,,7/13/2016,27.16,,7/13/2016,43.33,,7/13/2016,13.44,,7/13/2016,48.27
7/14/2016,64.12,,7/14/2016,162.54,,7/14/2016,28,,7/14/2016,44.45,,7/14/2016,13.65,,7/14/2016,48.94
7/15/2016,64.18,,7/15/2016,161.64,,7/15/2016,28.01,,7/15/2016,44.33,,7/15/2016,13.66,,7/15/2016,47.71
7/18/2016,63.96,,7/18/2016,163.33,,7/18/2016,28.21,,7/18/2016,44.57,,7/18/2016,14.11,,7/18/2016,48.28
7/19/2016,63.86,,7/19/2016,161.41,,7/19/2016,28.19,,7/19/2016,44.35,,7/19/2016,14.26,,7/19/2016,48.37
7/20/2016,63.93,,7/20/2016,161.77,,7/20/2016,28.78,,7/20/2016,44.47,,7/20/2016,14.4,,7/20/2016,48.61
7/21/2016,63.69,,7/21/2016,160.05,,7/21/2016,28.87,,7/21/2016,44.13,,7/21/2016,14.27,,7/21/2016,48.3
7/22/2016,64.04,,7/22/2016,160.41,,7/22/2016,28.92,,7/22/2016,44.3,,7/22/2016,14.38,,7/22/2016,48.32
7/25/2016,63.87,,7/25/2016,160.51,,7/25/2016,29.13,,7/25/2016,44.04,,7/25/2016,14.37,,7/25/2016,48.12
7/26/2016,64.13,,7/26/2016,161.16,,7/26/2016,29.23,,7/26/2016,44.15,,7/26/2016,14.53,,7/26/2016,47.97
7/27/2016,64.33,,7/27/2016,160.99,,7/27/2016,29.02,,7/27/2016,44.29,,7/27/2016,14.63,,7/27/2016,48
7/28/2016,64.1,,7/28/2016,160.53,,7/28/2016,28.86,,7/28/2016,44.08,,7/28/2016,14.68,,7/28/2016,48.13
7/29/2016,63.97,,7/29/2016,158.81,,7/29/2016,28.73,,7/29/2016,43.81,,7/29/2016,14.49,,7/29/2016,47.97
08/01/2016,63.8,,08/01/2016,158.18,,08/01/2016,28.5,,08/01/2016,43.42,,08/01/2016,14.33,,08/01/2016,47.81
08/02/2016,63.65,,08/02/2016,156.06,,08/02/2016,28,,08/02/2016,42.99,,08/02/2016,14.13,,08/02/2016,47.7
08/03/2016,64.66,,08/03/2016,158.34,,08/03/2016,28.42,,08/03/2016,43.89,,08/03/2016,14.48,,08/03/2016,47.57
08/04/2016,64.56,,08/04/2016,158.05,,08/04/2016,28.28,,08/04/2016,43.84,,08/04/2016,14.48,,08/04/2016,47.84
08/05/2016,66.3,,08/05/2016,162.09,,08/05/2016,29.01,,08/05/2016,45.72,,08/05/2016,15.05,,08/05/2016,48.68
08/08/2016,66.1,,08/08/2016,162.83,,08/08/2016,29.12,,08/08/2016,45.96,,08/08/2016,15.13,,08/08/2016,48.91
08/09/2016,65.87,,08/09/2016,163.44,,08/09/2016,29.34,,08/09/2016,45.9,,08/09/2016,15.19,,08/09/2016,48.93
08/10/2016,65.28,,08/10/2016,162.19,,08/10/2016,29.11,,08/10/2016,45.45,,08/10/2016,14.81,,08/10/2016,48.18
08/11/2016,65.46,,08/11/2016,163.86,,08/11/2016,29.38,,08/11/2016,45.73,,08/11/2016,14.88,,08/11/2016,48.24
08/12/2016,65.32,,08/12/2016,163.25,,08/12/2016,29.17,,08/12/2016,45.58,,08/12/2016,14.91,,08/12/2016,47.9
8/15/2016,65.72,,8/15/2016,165.55,,8/15/2016,29.66,,8/15/2016,46.39,,8/15/2016,15.02,,8/15/2016,48.27
8/16/2016,65.71,,8/16/2016,165.65,,8/16/2016,30.25,,8/16/2016,46.62,,8/16/2016,15.17,,8/16/2016,48.44
8/17/2016,65.89,,8/17/2016,165.67,,8/17/2016,30.37,,8/17/2016,46.63,,8/17/2016,15.15,,8/17/2016,48.61
8/18/2016,65.95,,8/18/2016,166.06,,8/18/2016,30.55,,8/18/2016,46.5,,8/18/2016,15.16,,8/18/2016,48.53
8/19/2016,65.86,,8/19/2016,166.23,,8/19/2016,30.55,,8/19/2016,46.53,,8/19/2016,15.22,,8/19/2016,48.65
8/22/2016,65.8,,8/22/2016,166.26,,8/22/2016,30.6,,8/22/2016,46.66,,8/22/2016,15.18,,8/22/2016,48.63
8/23/2016,65.77,,8/23/2016,166.08,,8/23/2016,30.72,,8/23/2016,46.59,,8/23/2016,15.35,,8/23/2016,48.41
8/24/2016,65.95,,8/24/2016,165.3,,8/24/2016,30.91,,8/24/2016,46.66,,8/24/2016,15.4,,8/24/2016,48.63
8/25/2016,66.07,,8/25/2016,165.9,,8/25/2016,30.97,,8/25/2016,46.72,,8/25/2016,15.53,,8/25/2016,48.38
8/26/2016,66.22,,8/26/2016,165.97,,8/26/2016,31.16,,8/26/2016,47.11,,8/26/2016,15.79,,8/26/2016,48.51
8/29/2016,66.95,,8/29/2016,166.87,,8/29/2016,31.41,,8/29/2016,47.26,,8/29/2016,15.84,,8/29/2016,49.56
8/30/2016,67.5,,8/30/2016,169.37,,8/30/2016,32.19,,8/30/2016,47.9,,8/30/2016,16.19,,8/30/2016,50.62
8/31/2016,67.5,,8/31/2016,169.46,,8/31/2016,32.06,,8/31/2016,47.74,,8/31/2016,16.14,,8/31/2016,50.8
09/01/2016,67.21,,09/01/2016,168.51,,09/01/2016,31.91,,09/01/2016,47.36,,09/01/2016,15.98,,09/01/2016,50.43
09/02/2016,67.49,,09/02/2016,169.18,,09/02/2016,31.89,,09/02/2016,47.51,,09/02/2016,16,,09/02/2016,50.55
09/06/2016,67.44,,09/06/2016,169.33,,09/06/2016,31.75,,09/06/2016,47.29,,09/06/2016,15.78,,09/06/2016,49.99
09/07/2016,67.16,,09/07/2016,169.67,,09/07/2016,31.69,,09/07/2016,47.48,,09/07/2016,15.7,,09/07/2016,49.77
09/08/2016,67.25,,09/08/2016,171.66,,09/08/2016,32.04,,09/08/2016,47.79,,09/08/2016,15.86,,09/08/2016,49.9
09/09/2016,66.65,,09/09/2016,168.57,,09/09/2016,31.59,,09/09/2016,47.17,,09/09/2016,15.74,,09/09/2016,48.72
09/12/2016,67.06,,09/12/2016,171.06,,09/12/2016,32.24,,09/12/2016,47.79,,09/12/2016,15.9,,09/12/2016,48.54
9/13/2016,66.53,,9/13/2016,167,,9/13/2016,31.46,,9/13/2016,46.92,,9/13/2016,15.72,,9/13/2016,46.96
9/14/2016,66.4,,9/14/2016,166.16,,9/14/2016,31.56,,9/14/2016,46.75,,9/14/2016,15.63,,9/14/2016,46.52
9/15/2016,66.64,,9/15/2016,168.08,,9/15/2016,31.95,,9/15/2016,47.08,,9/15/2016,15.67,,9/15/2016,46.15
9/16/2016,65.82,,9/16/2016,166,,9/16/2016,31.59,,9/16/2016,46.41,,9/16/2016,15.49,,9/16/2016,45.43
9/19/2016,66.19,,9/19/2016,166.21,,9/19/2016,31.6,,9/19/2016,46.59,,9/19/2016,15.59,,9/19/2016,46.01
9/20/2016,66.46,,9/20/2016,166.47,,9/20/2016,31.7,,9/20/2016,46.54,,9/20/2016,15.6,,9/20/2016,46.56
9/21/2016,66.84,,9/21/2016,167.03,,9/21/2016,31.92,,9/21/2016,46.9,,9/21/2016,15.65,,9/21/2016,45.83
9/22/2016,67.39,,9/22/2016,168.02,,9/22/2016,32.24,,9/22/2016,47.11,,9/22/2016,15.6,,9/22/2016,45.72
9/23/2016,67.25,,9/23/2016,165.13,,9/23/2016,31.91,,9/23/2016,47.15,,9/23/2016,15.52,,9/23/2016,45.74
9/26/2016,65.78,,9/26/2016,161.48,,9/26/2016,31.03,,9/26/2016,45.89,,9/26/2016,15.09,,9/26/2016,44.88
9/27/2016,66.36,,9/27/2016,162.89,,9/27/2016,31.35,,9/27/2016,46.37,,9/27/2016,15.29,,9/27/2016,45.09
9/28/2016,66.71,,9/28/2016,163.45,,9/28/2016,31.77,,9/28/2016,46.87,,9/28/2016,15.38,,9/28/2016,45.31
9/29/2016,65.65,,9/29/2016,158.95,,9/29/2016,31.04,,9/29/2016,45.8,,9/29/2016,15.16,,9/29/2016,44.37
9/30/2016,66.59,,9/30/2016,161.27,,9/30/2016,32.06,,9/30/2016,47.23,,9/30/2016,15.65,,9/30/2016,44.28
10/03/2016,66.51,,10/03/2016,161.07,,10/03/2016,31.95,,10/03/2016,47.03,,10/03/2016,15.63,,10/03/2016,43.83
10/04/2016,66.6,,10/04/2016,162.27,,10/04/2016,32.04,,10/04/2016,47.75,,10/04/2016,15.8,,10/04/2016,43.75
10/05/2016,67.69,,10/05/2016,166.4,,10/05/2016,32.56,,10/05/2016,48.65,,10/05/2016,16.11,,10/05/2016,44.99
10/06/2016,67.87,,10/06/2016,167.15,,10/06/2016,32.39,,10/06/2016,49.07,,10/06/2016,16.22,,10/06/2016,45.18
10/07/2016,68.11,,10/07/2016,169.83,,10/07/2016,32.31,,10/07/2016,49.28,,10/07/2016,16.13,,10/07/2016,45.33
10/10/2016,68.64,,10/10/2016,171.04,,10/10/2016,32.56,,10/10/2016,49.55,,10/10/2016,16.3,,10/10/2016,45.65
10/11/2016,68.31,,10/11/2016,169.04,,10/11/2016,32.18,,10/11/2016,48.99,,10/11/2016,16.11,,10/11/2016,45.45
